start_id,type,end_id
nsw_legislation:2019-05-27/act-2011-070_part_1,HAS_SECTION,nsw_legislation:2019-05-27/act-2011-070_part_1_section_5
nsw_legislation:2019-05-27/act-2011-070,HAS_PART,nsw_legislation:2019-05-27/act-2011-070_part_1
nsw_legislation:2019-05-27/act-2011-070_part_1,HAS_SECTION,nsw_legislation:2019-05-27/act-2011-070_part_1_section_6
nsw_legislation:2019-05-27/act-2011-070,HAS_PART,nsw_legislation:2019-05-27/act-2011-070_part_2
nsw_legislation:2019-05-27/act-2011-070_part_2,HAS_SECTION,nsw_legislation:2019-05-27/act-2011-070_part_2_section_7
nsw_legislation:2019-05-27/act-2011-070,HAS_PART,nsw_legislation:2019-05-27/act-2011-070_part_3
nsw_legislation:2019-05-27/act-2011-070_part_3,HAS_DIVISION,nsw_legislation:2019-05-27/act-2011-070_part_3_division_1
nsw_legislation:2019-05-27/act-2011-070_part_3_division_1,HAS_SECTION,nsw_legislation:2019-05-27/act-2011-070_part_3_section_8
nsw_legislation:2019-05-27/act-2011-070,HAS_PART,nsw_legislation:2019-05-27/act-2011-070_part_3
nsw_legislation:2019-05-27/act-2011-070_part_3,HAS_DIVISION,nsw_legislation:2019-05-27/act-2011-070_part_3_division_1
nsw_legislation:2019-05-27/act-2011-070_part_3_division_1,HAS_SECTION,nsw_legislation:2019-05-27/act-2011-070_part_3_section_9
nsw_legislation:2019-05-27/act-2011-070,HAS_PART,nsw_legislation:2019-05-27/act-2011-070_part_3
nsw_legislation:2019-05-27/act-2011-070_part_3,HAS_DIVISION,nsw_legislation:2019-05-27/act-2011-070_part_3_division_1
nsw_legislation:2019-05-27/act-2011-070_part_3_division_1,HAS_SECTION,nsw_legislation:2019-05-27/act-2011-070_part_3_section_10
nsw_legislation:2019-05-27/act-2011-070,HAS_PART,nsw_legislation:2019-05-27/act-2011-070_part_3
nsw_legislation:2019-05-27/act-2011-070_part_3,HAS_DIVISION,nsw_legislation:2019-05-27/act-2011-070_part_3_division_2
nsw_legislation:2019-05-27/act-2011-070_part_3_division_2,HAS_SECTION,nsw_legislation:2019-05-27/act-2011-070_part_3_section_11
nsw_legislation:2019-05-27/act-2011-070,HAS_PART,nsw_legislation:2019-05-27/act-2011-070_part_3
nsw_legislation:2019-05-27/act-2011-070_part_3,HAS_DIVISION,nsw_legislation:2019-05-27/act-2011-070_part_3_division_2
nsw_legislation:2019-05-27/act-2011-070_part_3_division_2,HAS_SECTION,nsw_legislation:2019-05-27/act-2011-070_part_3_section_12
nsw_legislation:2019-05-27/act-2011-070,HAS_PART,nsw_legislation:2019-05-27/act-2011-070_part_3
nsw_legislation:2019-05-27/act-2011-070_part_3,HAS_DIVISION,nsw_legislation:2019-05-27/act-2011-070_part_3_division_3
nsw_legislation:2019-05-27/act-2011-070_part_3_division_3,HAS_SECTION,nsw_legislation:2019-05-27/act-2011-070_part_3_section_13
nsw_legislation:2019-05-27/act-2011-070,HAS_PART,nsw_legislation:2019-05-27/act-2011-070_part_3
nsw_legislation:2019-05-27/act-2011-070_part_3,HAS_DIVISION,nsw_legislation:2019-05-27/act-2011-070_part_3_division_3
nsw_legislation:2019-05-27/act-2011-070_part_3_division_3,HAS_SECTION,nsw_legislation:2019-05-27/act-2011-070_part_3_section_14
nsw_legislation:2019-05-27/act-2011-070,HAS_PART,nsw_legislation:2019-05-27/act-2011-070_part_3
